merged_id,kirk-book-data.csv_CED (Cherokee),kirk-book-data.csv_CED (English),kirk-book-data.csv_CED Index,kirk-book-data.csv_CED Link,kirk-book-data.csv_Cherokee,kirk-book-data.csv_English,kirk-book-data.csv_Index,kirk-book-data.csv_Kirk Verb (Cherokee),kirk-book-data.csv_Kirk Verb (English),kirk-book-data.csv_Object,kirk-book-data.csv_Person,kirk-book-data.csv_Same CED,kirk-book-data.csv_Tense,kirk-book-data.csv_Tone,kirk-book-data.csv_Verb Number,kirk-book-data.csv__Kirk_Object,kirk-book-data.csv_normalized_key,kirk-book-data.csv_screenshot name,kirk-book-data.csv_source_Verb Number,learning-to-use-the-cherokee-verb.csv_CED English,learning-to-use-the-cherokee-verb.csv_CED Entry,learning-to-use-the-cherokee-verb.csv_CED Index,learning-to-use-the-cherokee-verb.csv_CED Link,learning-to-use-the-cherokee-verb.csv_Cherokee,learning-to-use-the-cherokee-verb.csv_English,learning-to-use-the-cherokee-verb.csv_Full Tense,learning-to-use-the-cherokee-verb.csv_Index,learning-to-use-the-cherokee-verb.csv_Object,learning-to-use-the-cherokee-verb.csv_Set,learning-to-use-the-cherokee-verb.csv_Stem,learning-to-use-the-cherokee-verb.csv_Stem Number,learning-to-use-the-cherokee-verb.csv_Syllabary,learning-to-use-the-cherokee-verb.csv_Verb,learning-to-use-the-cherokee-verb.csv_Verb Number,learning-to-use-the-cherokee-verb.csv_normalized_key,learning-to-use-the-cherokee-verb.csv_source_Verb Number,lily-dict.csv_CED_Line,lily-dict.csv_Category,lily-dict.csv_Cross_Reference,lily-dict.csv_Culturev_Entry,lily-dict.csv_Culturev_Line,lily-dict.csv_Culturev_Link,lily-dict.csv_Definition,lily-dict.csv_Definition_Long,lily-dict.csv_Entry,lily-dict.csv_Entry_Tone,lily-dict.csv_Etymology,lily-dict.csv_Index,lily-dict.csv_MDS_syllabary_source,lily-dict.csv_Part_of_Speech,lily-dict.csv_Plural,lily-dict.csv_Plural_Syllabary,lily-dict.csv_Plural_Tone,lily-dict.csv_PoS,lily-dict.csv_Source,lily-dict.csv_Source_Long,lily-dict.csv_Syllabary,lily-dict.csv_Verb_Root,lily-dict.csv_Verb_Set,lily-dict.csv__PoS_Lily
45a64307de2920f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long ago,,gohigi,gohigi,,1233,,adv,,,,adverb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎪᎯᎩ,,,verb
0fe472e530e1efb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,every day,,judodagwvda,ju²do²³dạ²gwṿ²da,,1406,,adv,,,,adverb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᏧᏙᏓᏋᏓ,,,verb
4d7e0ab0e3e7009c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537,,,become; happen,8,vbecome.html,"he's becoming, it's happening",,nigalsdiha,nị²gạ²lsdi²ha,,1537,,vi,,,,intransitive verb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᏂᎦᎵᏍᏗᎭ,alisdi,Set A,verb
edd32f7785e69abc,uksesdi,"1. he's watching him, 2. he's being careful",1827,https://cherokeedictionary.net/share/73858,duksesdi,She is studying,193,Duksesdi,Studying,none,Third Person Singular,X,Present Tense,u¹kse²sdi,8,none,3s|none|present,aksesd_B.PNG,8_none_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df43b573e2449453,,,,,ajvsiye'a,She is walking around,243,Ajvsiye'a,Walking Around,,Third Person Singular,,Present Tense,,10,3s,3s|3s|present,_walkAround.PNG,10_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea242e6ad9a8cef,,,,,udanila,She is ill,1562,Udanila,Ill,,Third Person Singular,,Present Tense,,63,3s,3s|3s|present,_beIll.PNG,63_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632251ea38bc969,,,,,doyi ujvsidi,She is going to the restroom,1879,Doyi Ujvsidiha,Restroom (Going To),,Third Person Singular,,Present Tense,,77,3s,3s|3s|present,_goToRestroom.PNG,77_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5bd6c6fb92ac296,,,,,osda-nigvneha,She is fixing,2746,Osda-Nigvneha,Fixing,,Third Person Singular,,Present Tense,,111,3s,3s|3s|present,_fix.PNG,111_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdd00605829162ba,,,,,adatlosga,She is winning,3409,Adatlosga,Winning,,Third Person Singular,,Present Tense,,137,3s,3s|3s|present,_win.PNG,137_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff5b8014541e6302,,,,,alkisohdi,She is practicing,3459,Alkisohdi,Practicing,,Third Person Singular,,Present Tense,,139,3s,3s|3s|present,alikisohd_A.PNG,139_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c81dfba39ca7e4bb,dahlinoheha,he's conversing,763,https://cherokeedictionary.net/share/72752,ahlinohehdi,She is talking to;She is speaking with,3484,Ahlinohehdi,"Talking To, Speaking With",3a,Third Person Singular,X,Present Tense,da¹hli.²no²he.³ha,140,3a,3s|3a|present,_talkToSpeakWith.PNG,140_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bd474843558586a,,,,,atliha,She is fighting,5167,Atliha,Fighting,,Third Person Singular,,Present Tense,,205,3s,3s|3s|present,_fight.PNG,205_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c57c5474aabf1e05,,,,,ji'lawsdi'a,I am staying with someone,5532,U'lawsdi'a,Staying With Someone,3a,First Person Singular,,Present Tense,,220,3a,3s|3a|present,_stayWithSomeone.PNG,220_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68c981197e34ec5e,,,,,u'lawsdi'a,She is staying with someone,5542,U'lawsdi'a,Staying With Someone,none,Third Person Singular,,Present Tense,,220,none,3s|none|present,_stayWithSomeone.PNG,220_none_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851aa827ba872c5,,,,,ganose'a,She is telling her,5567,Ganose'a,S/he is Telling Him/Her,3a,Third Person Singular,,Present Tense,,221,3a,3s|3a|present,_tellHimHer.PNG,221_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89365257301852ea,,,,,dasule'a,She is washing her hands,5891,Dasule'a,S/he is Washing His/Her Hands,,Third Person Singular,,Present Tense,,235,3s,3s|3s|present,_washHands.PNG,235_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d07e401a211211d,,,,,dekanogisdiha,She is playing music,5961,Dekanogisdiha,S/he's Playing Music,,Third Person Singular,,Present Tense,,238,3s,3s|3s|present,_playMusic.PNG,238_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3812f6639b6c6e1,,,,,gegehyohvsga,She is teaching her,6186,Gegehyohvsga,S/he is Teaching Him/Her,3a,Third Person Singular,,Present Tense,,247,3a,3s|3a|present,_teachHimHer.PNG,247_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc62899dbd0dc4a2,,,,,asdayvhvsga,She is cooking her a meal,6211,Asdayvhvsga,S/he is Cooking Him/Her a Meal,3a,Third Person Singular,,Present Tense,,248,3a,3s|3a|present,_cookHimHerAMeal.PNG,248_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7f52c5588c06290,,,,,ajihlosga,She is losing (a game);She is being beaten (game),7414,Ajihlosga,S/he Losing (A Game) / Being Beaten (Game),,Third Person Singular,,Present Tense,,295,3s,3s|3s|present,_loseBeBeatenInAGame.PNG,295_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f87027575faf0055,,,,,ganatla'a,She has an animal,7437,Ganatla'a,S/he Has an Animal,,Third Person Singular,,Present Tense,,296,3s,3s|3s|present,_haveAnAnimal.PNG,296_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c40c6b19b0fcb220,,,,,nigalstanvsga,It's happening;It's becoming,7449,Nigalstanvsga,It is Happening/Becoming,,Third Person Singular,,Present Tense,,297,3s,3s|3s|present,_itIsHappeningBecoming.PNG,297_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a32a03a745495546,,,,,unesahyvdla,It's cool (temperature),7540,Unesahyvdla,Cool (It is),,Third Person Singular,,Present Tense,,314,3s,3s|3s|present,_cool.PNG,314_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0c1f31b2994bd43,ahwahtiha,"he's finding him, it",412,https://cherokeedictionary.net/share/72395,ahwahtiha,She is finding something %(alive)%,7701,Ahwahtiha,Find (living),3a,Third Person Singular,X,Present Tense,a¹hwah²ti.³ha,330,3a,3s|3a|present,_find_living.PNG,330_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d5006a8f60b5897,ahyaniha,"1. he's calling him, inviting him. 2. he's receiving, getting him",420,https://cherokeedictionary.net/share/72403,wahyaniha,She is getting something %(alive)%,7801,Wahyaniha,Get (living),3a,Third Person Singular,X,Present Tense,a¹hya.²ni.³ha,335,3a,3s|3a|present,_get_living.PNG,335_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abea6fffbc086d80,agia,1. he's picking it up  2. he's getting it,332,https://cherokeedictionary.net/share/72314,wagi'a,She is getting something %(solid)%,7821,Wagi'a,Get (neutral),3s,Third Person Singular,X,Present Tense,a¹gi³?a,336,3s,3s|3s|present,_get_neutral.PNG,336_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a54d2309773c0f7,ayiha,"1. he's getting a long object., 2. he's picking up a long object",720,https://cherokeedictionary.net/share/72708,wayiha,She is getting something %(long)%,7841,Wayiha,Get (long),3s,Third Person Singular,X,Present Tense,a¹yi.³ha,337,3s,3s|3s|present,_get_long.PNG,337_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8723aa3d68012455,ganea,1. he's getting a flexible object  2. he's picking up a flexible object,1098,https://cherokeedictionary.net/share/73101,wigane'a,She is getting something %(flexible)%,7861,Wigane'a,Get (flexible),3s,Third Person Singular,X,Present Tense,ga.²ne³?a,338,3s,3s|3s|present,_get_flexible.PNG,338_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5446bd274b599dec,ganegia,1. he's getting some liquid  2. he's picking up some liquid,1103,https://cherokeedictionary.net/share/73106,wiganegi'a,She is getting something %(liquid)%,7881,Wiganegi'a,Get (liquid),3s,Third Person Singular,X,Present Tense,ga.²ne²gi³?a,339,3s,3s|3s|present,_get_liquid.PNG,339_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfe374d014fb93e9,,,,,atihneha,She has it with her %(alive)%;She is holding it in her hand %(alive)%,8096,Atihneha,Have With / Hold in Hand (living),3a,Third Person Singular,,Present Tense,,350,3a,3s|3a|present,_holdInHand_living.PNG,350_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97cf16700fb05640,ganea,1. he's getting a flexible object  2. he's picking up a flexible object,1098,https://cherokeedictionary.net/share/73101,gane'a,She is picking it up %(alive)%;She is putting it up %(alive)%,8192,Gane'a,Pick Up/Put Up (living),3a,Third Person Singular,X,Present Tense,ga.²ne³?a,355,3a,3s|3a|present,_pickUp_living.PNG,355_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b17875b1006a6c90,agia,1. he's picking it up  2. he's getting it,332,https://cherokeedictionary.net/share/72314,agi'a,She is picking it up %(solid)%;She is putting it up %(solid)%,8212,Agi'a,Pick Up/Put Up (neutral),,Third Person Singular,X,Present Tense,a¹gi³?a,356,3s,3s|3s|present,_pickUp_neutral.PNG,356_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d636a0a46f143d90,ayiha,"1. he's getting a long object., 2. he's picking up a long object",720,https://cherokeedictionary.net/share/72708,ayiha,She is picking it up %(long)%;She is putting it up %(long)%,8232,Ayiha,Pick Up/Put Up (long),,Third Person Singular,X,Present Tense,a¹yi.³ha,357,3s,3s|3s|present,_pickUp_long.PNG,357_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906b23366be35829,ganea,1. he's getting a flexible object  2. he's picking up a flexible object,1098,https://cherokeedictionary.net/share/73101,gane'a,She is picking it up %(flexible)%;She is putting it up %(flexible)%,8252,Gane'a,Pick Up/Put Up (flexible),,Third Person Singular,X,Present Tense,ga.²ne³?a,358,3s,3s|3s|present,_pickUp_flexible.PNG,358_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd74210b4e3b31c,ganegia,1. he's getting some liquid  2. he's picking up some liquid,1103,https://cherokeedictionary.net/share/73106,ganegi'a,She is picking it up %(liquid)%;She is putting it up %(liquid)%,8272,Ganegi'a,Pick Up/Put Up (liquid),,Third Person Singular,X,Present Tense,ga.²ne²gi³?a,359,3s,3s|3s|present,_pickUp_liquid.PNG,359_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c75f69eaa7fe8ec1,,,,,atihnawidiha,She is taking it along %(alive)%,8292,Atihnawidiha,Take Along (living),3a,Third Person Singular,,Present Tense,ga.²na³²wi²di.³ha,360,3a,3s|3a|present,_takeAlong_living.PNG,360_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39a5b6c699b5f176,,,,,atihnohiha,She is bringing something %(alive)%,8392,Atihnohiha,Bring (living),3a,Third Person Singular,,Present Tense,,365,3a,3s|3a|present,_bring_living.PNG,365_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7aaa01b8957c581,,,,,ahyohiha,She is bringing something %(solid)%,8412,Ahyohiha,Bring (neutral),3s,Third Person Singular,,Present Tense,,366,3s,3s|3s|present,_bring_neutral.PNG,366_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac1dc40845465457,,,,,ganohiha,She is bringing something %(long)%,8432,Ganohiha,Bring (long),3s,Third Person Singular,,Present Tense,,367,3s,3s|3s|present,_bring_long.PNG,367_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba04d23b541960b7,,,,,gahnohiha,She is bringing something %(flexible)%,8452,Gahnohiha,Bring (flexible),3s,Third Person Singular,,Present Tense,,368,3s,3s|3s|present,_bring_flexible.PNG,368_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85da381d1c8f26d5,,,,,ganhjohiha,She is bringing something %(liquid)%,8472,Ganhjohiha,Bring (liquid),3s,Third Person Singular,,Present Tense,,369,3s,3s|3s|present,_bring_liquid.PNG,369_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf675d4d511e5030,gohosga,"it's (round, long) falling",1244,https://cherokeedictionary.net/share/73248,gohosga,It's falling from elevated position something %(long)%,8507,Gohosga,"Fall from Elevated Position, IT (long) (same as neutral)",3s,Third Person Singular,X,Present Tense,go²ho.²sga,372,3s,3s|3s|present,_fallFromElevatedPosition_neutral.PNG,372_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe42dea979442a66,,,,,ahlvsga,She is placing it %(alive)% on something,8627,Ahlvsga,Place on Something (living),3a,Third Person Singular,,Present Tense,,379,3a,3s|3a|present,_placeOnSomething_living.PNG,379_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1c80a77d4a06686,,,,,ahladi'a,She is placing it %(long)% on something,8667,Ahladi'a,Place on Something (long),3s,Third Person Singular,,Present Tense,,381,3s,3s|3s|present,_placeOnSomething_long.PNG,381_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce23a57684299380,,,,,ahlvsga,She is placing it %(flexible)% on something,8687,Ahlvsga,Place on Something(flexible),3s,Third Person Singular,,Present Tense,,382,3s,3s|3s|present,_placeOnSomething_flexible.PNG,382_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c80ee43214ccf322,aditasga,he's drinking it,285,https://cherokeedictionary.net/share/72267,aditasga,She is eating something %(liquid)%;She is drinking something %(liquid)%,8773,Aditasga,Eating/Drink It (liquid),3s,Third Person Singular,X,Present Tense,a¹di²ta.³sga,386,3s,3s|3s|present,_eat_liquid.PNG,386_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a59f6fec450dd2e,,,,,atihnega,She is taking it somewhere %(alive)%,8793,Atihnega,Take Somewhere (living),3a,Third Person Singular,,Present Tense,,387,3a,3s|3a|present,_takeSomewhere_living.PNG,387_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419efda7580ee607,gahnidoha,he's handling a flexible object,1034,https://cherokeedictionary.net/share/73036,gahnidoha,She is handling something %(flexible)%;She is carrying something %(flexible)%,8953,Gahnidoha,Handle/Carry (flexible),3s,Third Person Singular,X,Present Tense,ga.²hni²³do³²ha,395,3s,3s|3s|present,_handleCarry_flexible.PNG,395_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbf2770a1d33d484,,,,,aya'vsga,She is putting it in a container %(alive)%,9093,Aya'vsga,Put in Container (living),3a,Third Person Singular,,Present Tense,,402,3a,3s|3a|present,_putInContainer_living.PNG,402_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61d5644b02f260e2,,,,,gakahv'a,She is moving something %(alive)%,9193,Gakahv'a,Move (living),3a,Third Person Singular,,Present Tense,,407,3a,3s|3a|present,_move_living.PNG,407_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77cb6ee6f91d2701,,,,,adisiyv'a,She is moving something %(long)%,9233,Adisiyv'a,Move (long),3s,Third Person Singular,,Present Tense,,409,3s,3s|3s|present,_move_long.PNG,409_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b02451a6e80eaac,,,,,ga'nv'a,She is moving something %(flexible)%,9253,Ga'nv'a,Move (flexible),3s,Third Person Singular,,Present Tense,,410,3s,3s|3s|present,_move_flexible.PNG,410_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d55d6c8d9c41a8d9,,,,,ganehiyv'a,She is moving something %(liquid)%,9273,Ganehiyv'a,Move (liquid),3s,Third Person Singular,,Present Tense,,411,3s,3s|3s|present,_move_liquid.PNG,411_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3cfce262dffadc6,,,,,ganv'vsga,She is setting it down %(alive)%,9293,Ganv'vsga,Set Down (living),3a,Third Person Singular,,Present Tense,,412,3a,3s|3a|present,_setDown_living.PNG,412_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc75f0ebb0cb281f,,,,,ganv'vsga,She is setting it down %(flexible)%,9353,Ganv'vsga,Set Down (flexible),,Third Person Singular,,Present Tense,,415,3s,3s|3s|present,_setDown_flexible.PNG,415_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d4e7a86ea014ac,,,,,ganehvsga,She is setting it down %(liquid)%,9373,Ganehvsga,Set Down (liquid),,Third Person Singular,,Present Tense,,416,3s,3s|3s|present,_setDown_liquid.PNG,416_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c94857325665483,,,,,gadv'vsga,She is hanging it up %(alive)%,9393,Gadv'vsga,Hang Up (living),3a,Third Person Singular,,Present Tense,,417,3a,3s|3a|present,_hangUp_living.PNG,417_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455c582203976ef,uhnuwa,"he's wearing a shirt, coat",1791,https://cherokeedictionary.net/share/73821,duhnuwa,She is wearing clothes,9471,duhnuwa,Wearing Clothes,,Third Person Singular,X,Present Tense,u¹hnu³²wa,421,3s,3s|3s|present,_wearingClothes.PNG,421_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5641bb4e3f11bdc4,,,,,,,,,,,,,,,,,,,,,,,,galvkwdiha,He/she is honoring it,3s Present 3s (inanimate),1274,Third Singular (inanimate),A,-lvgwodih-a / -lvkwdih-a,I,ᎦᎸᏉᏗᎭ,To Honor Someone or Something,13,3s|none|present,13,,,,,,,,,,,,,,,,,,,,,,,,
0f32d74e2bbbde74,,,,,,,,,,,,,,,,,,,,,,,,kanohiseha,S/he is telling it,3s Present 3s (inanimate),2158,Third Singular (inanimate),A,-nohiseh-a,I,ᎧᏃᎯᏎᎭ,To Tell something to someone*,23,3s|none|present,23,,,,,,,,,,,,,,,,,,,,,,,,
