corpus_id,definition,h_grade,g_grade,class,post_root_morpheme,root_id,user_edited
1070,he/she is hitting him/her,,,hih-hil[imp2],hitting[hil],hit,x
1761,he/she is sending it,,,hvsk-nh,,|-solid,x
206,he/she is setting it down,,,hvsk-nh,,|-solid,x
1754,he/she is sending on object (refers to a long object),,,i-a-i,long[no-a],long,x
72,he/she is laying it down (refers to a long object),,,i-a-i,long[no-a],long,x
128,he/she is picking it up,,,rev-gi,,|-solid,x
1530,he/she has an object (refers to a solid object),,,stative-h,,|-solid,x
172,it’s taking time,'hil,,be-at,be-at,'hil|,
839,he/she is climbing around,'l,'l,be-at,be-at,'l|'l,
834,he/she is climbing it,'l,'l,go,,'l|'l,
858,he/she is arriving,'luh,'luh,become[inf4],,'luh|'luh,
914,he/she is burying him/her,'n,'n,cause[perf2],iterative,'n|'n,
956,he/she is rolling him/her,:hsakwale,:hsakwale,hih-lh,,:hsakwale|:hsakwale,
960,he/she is attaching the object behind it (refers to a flexible object),:hsanenat,:hsanenat,vsk,,:hsanenat|:hsanenat,
955,he/she is pushing him/her,:hsato,:hsato,sk-h-yh,,:hsato|:hsato,
623,he/she is crossing it (refers to a body of water),:hsoh,:hsoh,become[inf4],,:hsoh|:hsoh,
969,he/she is piling it up,:hsvt,:hsvt,hvsk-han,,:hsvt|:hsvt,
791,he/she is rowing,:kawe,:kawe,sk-s-hst[imp2],,:kawe|:kawe,
1774,he/she is sending it,:kha,:kha,hvsk-n,,:kha|:kha,
826,he/she is leaving a living thing behind,:khah,:khah,a,leaving,:khah|:khah,
827,he/she is giving him/her a living thing,:khan,:khan,apl,,:khan|:khan,
1699,he/she is belching,:khule,,become[inf2],,:khule|,
796,he/she is pecking it,:kwayo,:kwayo,hih-lh[imp2],,:kwayo|:kwayo,
829,he/she is wrapping him/her,:kwhen,:kwhen,vnh-vsk[inf2],,:kwhen|:kwhen,
809,he/she is piling it up,:l,:l,husk,,:l|:l,
355,they are gathering,:lh,:lh,cause[perf2],iterative,:lh|:lh,
804,he/she is gathering it,:lh,:lh,cause[perf2],iterative,:lh|:lh,
908,he/she is handling it (refers to a long object),:n,:n,be-at,be-at,:n|:n,
882,he/she is taking it somewhere by hand (refers to a long object),:n,:n,go,,:n|:n,
887,he/she is holding it in his/her hand (refers to a long object),:n,:n,stative-eh,,:n|:n,
1700,he/she is shivering,:naw,,i-a-i,,:naw|,
973,he/she is stabbing him/her,:t,:t,hih-hilh,,:t|:t,
764,he/she is plowing it,:taluk,:taluk,i-vka,,:taluk|:taluk,
767,he/she is turning it,:teyhst,:teyahst,cause,,:teyhst|:teyahst,
769,he/she is spinning it,:tikwalvteyhst,:tikwalvteyhst,cause,,:tikwalvteyhst|:tikwalvteyhst,
7,he/she is putting on a belt,:tlo,:tlo,hih-lh,,:tlo|:tlo,
770,he/she is strapping it,:tlo,:tlo,hih-lh,,:tlo|:tlo,
775,he/she is pitying him/her,:toli,:toli,become,,:toli|:toli,
10,he/she is praying,:tolihst,:tolihst,cause,,:tolihst|:tolihst,
1450,he/she is in prayer,:tolihst,:tolihst,stative[inf2],,:tolihst|:tolihst,
25,it’s ripping,:tsakal,:tsakal,ih-vh,,:tsakal|:tsakal,
820,he/she is ripping it,:tsakal,:tsakal,ih-vh,,:tsakal|:tsakal,
821,he/she is scratching him/her,:tsaliko,:tsaliko,sk-s-la,,:tsaliko|:tsaliko,
823,he/she is pricking him/her,:tsayo,:tsayo,hih-lh[imp2],,:tsayo|:tsayo,
757,he/she is straightening it,:tshinohs,:tshinohs,cause[perf2],,:tshinohs|:tshinohs,
824,he/she is wringing it out,:tsvwahst,:tsvwahst,cause,,:tsvwahst|:tsvwahst,
825,he/she is stinging it,:tsvy,:tsvy,sk-h,,:tsvy|:tsvy,
784,he/she is baking it,:tu,:tu,hvsk-nh[inf2],,:tu|:tu,
1708,he/she smells it,:whsv,,become,,:whsv|,
986,he/she is sewing it,:yew,:yewi,sk-s-a[inf2],,:yew|:yewi,
818,he/she is eating it (refers to a flexible object),:yh,:y,e-aka,,:yh|:y,
70,he/she is going around a curve,a,a,oh-ol[inf2],spin,a|a,
432,he/she is backing up,ahs,ahs,go,in,ahs|ahs-back,x
458,he/she is touching him/her,ahs,ahs,hih-hil,hitting[hil],ahs|ahs,
607,he/she is counting it,ahse,ahse,hih-lh,,ahse|ahse,
398,he/she is withdrawing (refers to a motion),ahse,ahse,ih-vh[inf2],change-alt,ahse|ahse,
397,he/she is including him/her (refers to in counting),ahsehst,ahsehst,cause,,ahsehst|ahsehst,
430,he/she is placing his/her hand on him/her,ahsihth,ahsihth,i-a-i,long,ahsihth|ahsihth,
431,he/she is slapping him/her,ahsihth,ahsihth,ih-il,hitting[il],ahsihth|ahsihth,
609,he/she is clapping his/her hands,ahsihth,ahsihth,ih-il,hitting[il],ahsihth|ahsihth,
738,he/she is releasing it (refers to involuntarily releasing),ahskalehst,,cause,,ahskalehst|,
417,he/she is digging it,ahsko,ahsko,sk-s-la,,ahsko|ahsko,
413,he/she is rubbing him/her,ahskoliy,ahskoliy,e-a,,ahskoliy|ahskoliy,
439,he/she is waving his/her hand,ahsolvta,ahsolvta,rev-gi,,ahsolvta|ahsolvta,
440,he/she is pressing down on him/her,ahsonhst,ahsonhst,cause,,ahsonhst|ahsonhst,
437,he/she is building a fence,ahsoy,ahsoy,oh-al,,ahsoy|ahsoy,
610,he/she is getting exhausted,ahsthaye,ahsthaye,sk-s-hi-hihst,,ahsthaye|ahsthaye,
444,he/she is fishing,ahsu,ahsu,hvsk-nh,,ahsu|ahsu,
448,he/she is putting his/her pants on,ahsul,ahsul,i-vka,,ahsul|ahsul,
447,he/she is taking his/her pants off,ahsul,ahsul,rev-e,,ahsul|ahsul,
1677,he/she is wearing pants,ahsul,ahsul,stative,,ahsul|ahsul,
446,he/she is changing his/her pants,ahsul,ahsul,v-vhs,change-out[flexible],ahsul|ahsul,
611,it’s barking,ahsuwh,ahsuwh,i-a-ihsk,,ahsuwh|ahsuwh,
453,he/she is stirring it,ahsuy,ahsuy,apl-active,,ahsuy|ahsuy,
452,he/she is choosing him/her,ahsuy,ahsuy,rev-e,,ahsuy|ahsuy,
454,he/she is mixing it in,ahsuy,ahsuy,vsk[imp2],,ahsuy|ahsuy,
136,it’s burning,ak,ak,terminative,,ak|ak,
261,he/she is riding it (refers to anything that can be straddled),akhilvt,akhilvt,cause,,akhilvt|akhilvt,
1592,it’s sticking out,akhsat,,stative-h,,akhsat|,
1593,he/she is watching him/her,akhsehst,akahsehst,stative[inf2],,akhsehst|akahsehst,
281,he/she is peeking through,akhth,akath,cause[perf2],,akhth|akath,
276,he/she is turning back,akhthah,akathah,v-vhs,,akhthah|akathah,
277,he/she is winking,akhthahst,akathahst,cause,,akhthahst|akathahst,
573,he/she is closing his eyes,akhthahst,akathahst,cause,,akhthahst|akathahst,
576,he/she is putting on glasses,akhthinvt,akathinvt,hvsk-han,,akhthinvt|akathinvt,
575,he/she is taking off his/her glasses,akhthinvt,akathinvt,rev-e,,akhthinvt|akathinvt,
729,he/she is wearing glasses,akhthinvt,akathinvt,stative-h,,akhthinvt|akathinvt,
288,he/she is looking at him/her,akhthohst,akathohst,cause[pres2],,akhthohst|akathohst,
135,he/she is burning him/her,akohvhst,akohvhst,cause,,akohvhst|akohvhst,
140,he/she is target practicing,akon,akon,ih-vh,,akon|akon,
153,he/she is washing his face,akvhskw,akvhskw,o,,akvhskw|akvhskw,
293,he/she is paying it,akwhiy,akwiy,ih-vh,,akwhiy|akwiy,
294,he/she is paying him/her,akwhiyv',akwiyv',apl,,akwhiyv'|akwiyv',
300,he/she is taking a step,alahsk,alahsk,v-vhs,,alahsk|alahsk,
298,he/she is playing ball,alahskal,alahskal,ih-vh,,alahskal|alahskal,
297,he/she is stepping on him/her,alahst,alahst,vsk[imp2],,alahst|alahst,
296,he/she is tromping on him/her,alahsta',alahsta',apl-active-',,alahsta'|alahsta',
582,he/she is putting on shoes,alahsul,alahsul,hvsk-han,,alahsul|alahsul,
584,he/she is taking off his/her shoes,alahsul,alahsul,rev-e,,alahsul|alahsul,
730,he/she is wearing shoes,alahsul,alahsul,stative-h,,alahsul|alahsul,
583,he/she is changing shoes,alahsul,alahsul,v-vhs,change-out[flexible],alahsul|alahsul,
306,he/she is standing in a certain spot,ale,ale,hvsk-nh,,ale|ale,
587,he/she is getting up (from sitting or from involuntarily assumed prone position),ale,ale,hvsk-nh,,ale|ale,
586,he/she is recuperating,aleh,ale',cause[perf2],iterative,aleh|ale',
305,he/she is placing it in an upright position (refers to a long object),aleht,alet,cause,,aleht|alet,
585,he/she is helping him/her up,aleht,alet,cause,,aleht|alet,
309,he/she is starting,alen,alen,ih-vh,,alen|alen,
1602,he/she is losing his/her way,alena,,hih-lh,,alena|,
307,he/she is stopping,alewhihst,alewihst,cause,,alewhihst|alewihst,
308,he/she is stopping him/her,alewhihstoht,alewihstoht,cause,,alewhihstoht|alewihstoht,
173,he/she is measuring it,alh,atl,o,repetitive,alh|atl,
167,he/she is taking off flying,alhawit,atlawit,ih-vh,,alhawit|atlawit,
169,he/she is making him/her fly,alhawitht,atlawitht,cause[perf3],,alhawitht|atlawitht,
171,he/she is having a nightmare,alhi,atli,rev-gi,,alhi|atli,
552,he/she is rocking,alhihk,alihk,apl-active,,alhihk|alihk,
553,he/she is drawing a picture of him/her,alhilohst,atlilohst,cause,,alhilohst|atlilohst,
336,he/she is dancing,alhs,alihs,rev-gi,,alhs|alihs,
1623,it’s dark,alhsih,,stative-k,,alhsih|,
840,it is burning (refers to forest or grass),ali,,become,,burning,x
317,he/she is exchanging it,ali'it,ali'it,i-a-i,,ali'it|ali'it,
315,he/she is happy,aliheli,ali'eli,become,,aliheli|ali'eli,
314,he/she is thanking him/her,alihelitsh,ali'elitsh,apl[imp3],,alihelitsh|ali'elitsh,
359,they are getting together,aliko,,hvsk-nh[inf2],,aliko|,
318,he/she is running away,alith,alith,rev-i,,alith|alith,
592,he/she is putting on his/her socks,aliyo,aliyo,hih-lh,,aliyo|aliyo,
593,he/she is changing his/her socks,aliyo,aliyo,ih-vh[imperf2-inf2],change-alt,aliyo|aliyo,
591,he/she is taking off his/her socks,aliyo,aliyo,rev-gi,,aliyo|aliyo,
733,he/she is wearing socks,aliyo,aliyo,stative-h,,aliyo|aliyo,
324,he/she is spitting,altsikw,altsikw,sk-h,,altsikw|altsikw,
32,he/she is taking off running,anawhst,anawhst,cause,,anawhst|anawhst,
362,he is getting married,anel,anel,i-a-i,long,anel|anel,
361,he/she is attempting it,anelht,anelht,cause,,anelht|anelht-attempt,x
599,he/she is playing with him/her,anelht,anelht,cause,,anelht|anelht,
600,he/she is playing,anelo,anelo,hvsk-nh[inf2],,anelo|anelo,
189,he/she is putting on a shirt,anhaw,aniw,o,,anhaw|aniw,
559,he/she is putting on clothes,anhaw,aniw,o,,anhaw|aniw,
187,he/she is taking his/her shirt off,anhaw,aniw,rev-e,,anhaw|aniw,
558,he/she is undressing,anhaw,aniw,rev-e,,anhaw|aniw,
186,he/she is changing his/her shirt,anhaw,aniw,v-vhs,change-out[flexible],anhaw|aniw,
557,he/she is changing clothes,anhaw,aniw,v-vhs,change-out[flexible],anhaw|aniw,
191,he/she is wrestling,anhe,anhe,hih-lh,,anhe|anhe,
195,he/she is building a house,anhehsk,anehsk,apl-active,,anhehsk|anehsk,
192,he/she is interpreting it,anhelht,anelht,cause,,anhelht|anelht,
196,he/she is leaving,anhi,ani,rev-gi,,anhi|ani-leave,x
1554,he/she is in bed,anhi,ani,stative-h,,anhi|ani-bed,x
197,he/she is starting it,anhikihst,anikihst,cause,,anhikihst|anikihst,
198,he/she is carrying it on his/her shoulder (refers to a long object),anholh,anolh,go,in,anholh|anolh,
39,he/she is thinking,anht,anvt,apl-active-h,,anht|anvt,
363,he/she is remembering him/her,anht,anvt,i-a-i,long,anht|anvt,
1646,he/she knows it,anht,anvt,stative-h,,anht|anvt,
41,he/she is pondering,anhtheh,anvtheh,o,repetitive,anhtheh|anvtheh,
1557,he/she is wearing a shirt,anhuw,,stative,,anhuw|,
1471,he/she is throwing it,at,at,go-in,,at|at,
4,it’s bouncing,at,at,go-in,,at|at,
5,he/she is limping,at,at,go-in[perf2],,at|at,
976,he/she is hanging it up,at,at,hvsk-han,,hang,x
766,he/she is removing it from a hanging position (refers to solid or flexible object),at,at,rev-e,,hang,x
759,it is hanging (refers to flexible object),at,at,stative-a',,hang,x
970,it’s hanging,at,at,stative-h,,hang,x
77,he/she is saying it,at,at,vnh-ih-a,,say,x
30,he/she is shopping,atananehs,atananehs,episodic[inf2],,atananehs|atananehs,
539,he/she is making an X,atanhawhst,atanawhst,cause,,atanhawhst|atanawhst,
542,he/she is accepting him/her,atanilv,atanilv,become,,atanilv|atanilv,
46,he/she is ordering it,atanv,atanv,sk-s-la,,atanv|atanv,
51,it’s burning (refers to flames),atawelak,atawelak,i-a-i,,atawelak|atawelak,
21,he/she is denying him/her,atay,atay,hih-hil[imp2],,atay|atay,
22,he/she is committing adultery,atayhon,atayon,apl[imp4],,atayhon|atayon,
62,he/she is embarrassed,ateho,ate'o,sk-s-hi-hihst,,ateho|ate'o,
61,he/she is embarrassing him/her,atehohihst,ate'ohihst,cause,,atehohihst|ate'ohihst,
1778,he/she is going out of sight,ateli,,become,,ateli|,
67,he/she is finding it out,ateloho,atelo'o,sk-s-hi-hihst,,ateloho|atelo'o,
1476,he/she is having a birthday,atethiy,,ih-vh,,atethiy|,
469,it’s exploding,athahs,,rev-gi,,athahs|,
463,he/she is holding his/her breath,athawhohst,a'tawhohst,cause,,athawhohst|a'tawhohst,
479,he/she is leading him/her,athinh,athinh,go[pres2],,athinh|athinh,
480,he/she is arguing,athiyo,a'tiyo,hih-lh,,athiyo|a'tiyo,
483,he/she is racing,athohk,athohk,a,leaving,athohk|athohk,
487,he/she is borrowing him/her,athol,athol,sk-s-a,,athol|athol,
486,he/she is loaning it to him/her,atholhst,atholhst,cause,,atholhst|atholhst,
491,he/she is taking a drink (refers to alcoholic beverage),athu,a'tu,rev-gi,,athu|a'tu,
498,he/she is growing,athv,a'tv,sk-s-hi-hihst,,athv|a'tv,
497,he/she is raising him/her,athvhihst,a'tvhihst,cause,,athvhihst|a'tvhihst,
496,he/she hears him/her,athvk,athvk,i-vka,,athvk|athvk,
495,he/she is asking him/her a question,athvt,athvt,episodic,,athvt|athvt,
494,he/she is listening to him/her,athvtahst,athvtahst,cause,,athvtahst|athvtahst,
1693,he/she is listening to him/her,athvtahst,athvtahst,stative[inf2],,athvtahst|athvtahst,
74,he/she is scattering it,atikaley,atikaley,a,,atikaley|atikaley,
75,it’s scattering,atikaleyo,,become[inf3],,atikaleyo|,
1478,it’s hot,atilheh,,stative-k,,atilheh|,
6,he/she is bouncing it,atinvt,atinvt,cause,,atinvt|atinvt,
78,he/she is running over him/her,atinvt,atinvt,cause,,atinvt|atinvt,
73,he/she is rising (from a prone position),atit,atit,ih-vh,,atit|atit,
82,he/she is drinking it,atitha,atitha,sk-h[imp2],,atitha|atitha,
1481,he/she is getting well,atiw,,sk-s-hi-hihst,,atiw|,
87,he/she is turning off the road,atl,atl,rev-e,,atl|atl,
1485,he/she is disbelieving,atlahsithv',,apl,,atlahsithv'|,
1487,he/she is taking revenge,atle,,become[inf2],,atle|,
88,he/she is taking revenge against him/her,atletsh,atletsh,apl[imp3],,atletsh|atletsh,
1489,he/she is wearing an earring,atli'at,,stative,,atli'at|,
547,he/she is weeping,atloy,atloy,hih-hil,,atloy|atloy,
98,he/she is crying,atloy,atloy,hih-hil,,atloy|atloy,
101,he/she is catching up with him/her,atlvtha,atlvtha,sk-h[imp2],,atlvtha|atlvtha,
777,it is falling from a hanging position (refers to flexible object),ato,ato,sk-s-hi-hihst,,ato|ato,
724,he/she is staggering,atokht,,cause,,atokht|,
776,he/she is dropping him/her (refers to flexible object),atonht,atonht,cause,,atonht|atonht,
238,it’s hatching,atsa',atsa',rev-i,,atsa'|atsa',
1576,he/she is inside it,atsa',atsa',stative,,atsa'|atsa',
239,he/she is dressing up,atsan,atsan,vnh-vsk[inf2],,atsan|atsan,
242,he/she is acting like him/her,atsel,atsel,vnh-vsk,,atsel|atsel,
490,he/she is lying,atsko,atsihsko,vsk-post-v,,atsko|atsihsko,
254,he/she is blowing,atsotha,atsotha,sk-h[imp2],,atsotha|atsotha,
489,he/she is taking a bite,atst,atsihst,rev-e,,atst|atsihst,
1507,he/she wants it,atul,,ih-vh,,atul|,
109,he/she is preparing it,atvnv'ihst,atvnv'ihst,cause,,atvnv'ihst|atvnv'ihst,
1508,he/she is willing,atvnv'ihst,atvnv'ihst,stative,,atvnv'ihst|atvnv'ihst,
544,he/she is performing baptism,aw,aw,o,,aw|aw,
56,he/she is bathing,aw,aw,o,,aw|aw,
979,he/she is bathing him/her,aw,aw,o,,aw|aw,
1258,he/she is breathing,awholat,a'wolat,rev-e,,awholat|a'wolat,
980,he/she is replying,awohil,awo'il,v-vhs,change-out,awohil|awo'il,
223,he/she is swimming (refers to propelling oneself through the water),ayhu',ayu',go,in,ayhu'|ayu',
63,he/she is being born,e,e,hvsk-nh,,e|e,
746,he/she lives,e,e,stative-h,,e|e,
1710,he/she is aching,ehihstan,,apl,,ehihstan|,
752,he/she thinks so,el,el,i-a-i[perf2],,el|el,
993,he/she is howling,elhu,elu,hvsk-nh[inf3],,elhu|elu,
742,he/she is walking around,et,et,be-at,,et|et,
165,he/she is leaving it behind,h,',a,leaving,h|',
160,he/she is handling it,h,',be-at,be-at,h|',
205,he/she is moving it from one place to another,h,',v-vhs,,h|',
1531,he/she is yawning,halhok,,apl-active,,halhok|,
155,he/she is diverting him/her,halu,'alu,rev-gi,,halu|'alu,
1534,he/she is having trouble breathing,hawohst,'awohst,cause,,hawohst|'awohst,
158,he/she is smothering him/her,hawohst,'awohst,cause,,hawohst|'awohst,
1535,there is dew,hihsat,,stative-h,,hihsat|,
1537,it’s lonesome,hihsoht,,stative,,hihsoht|,
1536,he/she is lonesome,hihsohtan,,apl,,hihsohtan|,
179,it’s shattering,hkhot,,vnh-vsk,,hkhot|,
180,he/she is shattering it,hkhotht,khotht,cause,,hkhotht|khotht,
383,he/she is braiding it,hs,hs,oh-ol,spin,hs|hs,
325,he/she is ascending,hsalat,hsalat,i-vka,,hsalat|hsalat,
374,he/she is lifting him/her,hsalat,hsalat,i-vka,,hsalat|hsalat,
373,he/she is setting a trap,hsat,hsat,vsk[imp2],,hsat|hsat,
400,he/she is reprimanding him/her,hska,hska,become[inf3],,hska|hska,
405,he/she is committing a crime,hskanv,hskanv,become[inf3],,hskanv|hskanv,
608,he/she is cursing him/her,hskin,hskin,i-a-i,long,hskin|hskin,
411,he/she is gnawing it,hskok,hskok,i-a-i,,hskok|hskok,
337,he/she is permitting him/her,hskolhtan,hskolhtan,apl,,hskolhtan|hskolhtan,
416,it’s fading,hskolv,,become[inf3],,hskolv|,
412,he/she is mourning for him/her,hskon,hskon,hih-hil,,hskon|hskon,
338,he/she is nodding his/her head,hsku,hsku,sk-h-yh,,hsku|hsku,
339,it’s ending,hskw,hskw,i-a-i,long,hskw|hskw,
419,he/she is finishing it,hskw,hskw,i-a-i,long,hskw|hskw,
423,it’s getting shorter,hskwal,hskwal,become[inf3],become-long[o],hskwal|hskwal,
425,he/she is hitting him/her on the head with it (refers to a long object),hskwal,hskwal,ih-il,hitting[il],hskwal|hskwal,
424,he/she is breaking it (refers to a long object),hskwal,hskwal,sk-s-a[inf2],,hskwal|hskwal,
421,he/she is catching him/her (refers to a falling person or object),hskwalh,hskwalh,rev-e,,hskwalh|hskwalh,
340,he/she is sticking his/her head out,hskwalut,hskwalut,i-vka,,hskwalut|hskwalut,
1621,he/she is sticking his/her head out,hskwalut,hskwalut,stative,,hskwalut|hskwalut,
427,he/she is amazed,hskwaniko,hskwaniko,sk-s-hi-hihst,,hskwaniko|hskwaniko,
341,he/she is taking his/her hat off,hskwethuh,hskwethuh,rev-gi,,hskwethuh|hskwethuh,
1622,he/she is wearing a hat,hskwethuh,hskwethuh,stative-k,,hskwethuh|hskwethuh,
429,he/she is hitting him/her on the abdomen with it (refers to a long object),hskwohal,hskwohal,ih-il,hitting[il],hskwohal|hskwohal,
436,he/she is roping him/her,hslh,hslh,i-a-i,long,hslh|hslh,
344,he/she is setting a goal,hsohst,hsohst,cause,,hsohst|hsohst,
594,he/she is aiming at him/her,hsohst,hsohst,cause,,hsohst|hsohst,
441,he/she is wounding him/her,hson,hson,vnh-vsk[inf4],,hson|hson,
386,he/she is crushing it,hst,hst,o,,hst|hst,
377,he/she is making it crisp,hstakayht,hstakayht,cause,,hstakayht|hstakayht,
378,it’s becoming crisp,hstakayv,,hih-lh,,hstakayv|,
1616,it’s happening to him,hstanh,,apl[imp2],,hstanh|,
380,he/she is drawing a line,hstanvn,hstanvn,hvsk-han,,hstanvn|hstanvn,
381,he/she is following him/her,hstawat,hstawat,go,,hstawat|hstawat,
327,he/she is eating a meal,hstay,hstay,episodic,,hstay|hstay,
48,he/she is cooking a meal,hstay,hstay,episodic,,hstay|hstay,
604,he/she is shooting at him/her,hstayo,hstayo,hih-lh[imp2],,hstayo|hstayo,
329,he/she is helping,hstel,hstel,ih-vh,,hstel|hstel,
382,he/she is helping him/her,hstel,hstel,ih-vh,,hstel|hstel,
384,he/she is eating it (refers to a long object),hstik,hstik,i-a-i,,hstik|hstik,
605,he/she is splitting it,hstlu,hstlu,sk-h-yh,,hstlu|hstlu,
388,he/she is trimming it (refers to hair‚ grass‚ hedge; but not paper‚ cloth),hstoy,hstoy,apl-active-a,,hstoy|hstoy,
390,he/she is opening it,hstu,hstu,rev-'i,,hstu|hstu,
331,he/she is washing his/her hair,hstul,hstul,apl-active-a,,hstul|hstul,
