error,base_id,source,engl,phon,syll,text
Zero asterisks in sentence,c5800fdffd4917fb,lily-dict.csv,[Chamberlain's 1888 Cherokee Picture Book],[Chamberlain's 1888 Cherokee Picture Book],[Chamberlain's 1888 Cherokee Picture Book],
Zero asterisks in sentence,39c1a2476fe1de8a,lily-dict.csv,[Beginning Cherokee],[Beginning Cherokee],[Beginning Cherokee],
Zero asterisks in sentence,ce4a612177c3a224,lily-dict.csv,Let's you and I have coffee.,Kahwi inadita.,ᎧᏫ ᎢᎾᏗᏔ.,
Zero asterisks in sentence,60c18bfa12f04c36,lily-dict.csv,,,dị²go²sdv³ni¹sdi,
Zero asterisks in sentence,8d26ac29fe643232,lily-dict.csv,You can start immediately,Hvlegwu yidalena,ᎲᎴᏊ ᏱᏓᎴᎾ,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),796a91524f05dfe7,lily-dict.csv,,[King pg 110],ᏓᎨᎯ *ᎠᏧᏣ* ᎩᎵ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),6d9e51bcdea74971,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],… ᎠᎴ ᎢᏴᏛᎭ *ᎠᏓᏙᎵᏍᏗᏍᎬᎩ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),6f112001cc96a8bd,lily-dict.csv,,[ᎷᎦ 5:24],ᎾᎿ ᎠᏥᎸᎨᎳᏍᏗᏱ ᎯᎯᏯᏍᎨᏍᏗ *ᏣᏓᏁᏗ* ᎠᎴ ᎭᏓᏅᏍᎨᏍᏗ …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),c98e6bb1f61eb391,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],… ᎠᎴ ᎾᏍᎩ ᏂᎯ *ᏣᏓᏅᏖᏗ* ᎪᎦ ᎢᏳᏍᏗ ᎨᏒᎢ …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),3ebb8ab8504078d0,lily-dict.csv,,[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 15:2],ᎠᎴ ᎠᎩᎪᎲᎩ ᎥᏓᎸ *ᎠᏓᎨᏗ* ᏗᎬᏩᎸᏌᏛ ᎾᏍᎩᏯᎢ ᎠᏥᎸ ᎤᏓᏑᏱ ᎨᏒᎩ …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),8af45d32c5e862dd,lily-dict.csv,,[King pg 117],"ᎠᏍᎦᏯ, ᏄᏍᎦᏎᏅᎾ *ᏥᏭᏓᎾᏫᏛᎮᎢ*.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),68c07ba808c51250,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],ᎢᎬᏱᏱᏉᏃ *ᎠᏓᏁᎸ* ᏫᎷᏥᎸ ᎾᏍᎩ ᎦᏁᎸ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),186f362d1c115aa4,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ 12:1],"… ᎯᏄᎪᎢ ᏣᏤᎵᎪᎯ ᎨᏒᎢ, ᎠᎴ ᏣᎪᏏ ᎨᏒ ᎩᏯᏓᏅᏏ, *ᎠᎴ ᏣᏙᏓ ᎦᏁᎸ ᎭᏓᏅᎾ* …",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),a6c5269d0d865a29,lily-dict.csv,,[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ],ᎯᏍᎩᏁ: ᏑᎨᏓ ᏭᏂᏝᏁ *ᎠᏓᏍᏓᏴᏗ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),12a4ac6adc68b946,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],"… ᏧᏁᎶᏗ *ᎤᏓᏛᏛᏅᎩ* ᎯᎠ ᏄᏪᏒᎩ, ᏝᏍᎪ ᎨᏍᎩᏰᏅᏕᏍᏗ ᏱᎩ ᎯᎠ ᎦᎨᏛ ᏥᎦᎵᏎᎭ ᎤᏛᏅᎩ …",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),b6d26db0e5e149e0,lily-dict.csv,,[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ],ᎧᎹᎹ *ᎠᏓᏬᎠ* ᎥᏓᎵ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),0bf9b562ae4a8c65,lily-dict.csv,,[ᎹᏚ 8:2],ᎠᎴ ᎬᏂᏳᏉ *ᎠᏓᏰᏍᎩ ᎤᏢᎩ* ᎤᎷᏤ ᎤᏓᏙᎵᏍᏓᏁᎴᎢ …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),2eae53af0a818447,lily-dict.csv,,[ᏔᎵᏁ ᏗᎹᏗ 3:7],"ᎾᏍᎩ ᏂᎪᎯᎸ *ᎠᎾᏕᎶᏆᏍᎪᎢ*, ᎠᏎᏃ ᎥᏝ ᎢᎸᎯᏳ ᏱᏩᏂᏰᎢᎶᎯᎰ ᏚᏳᎪᏛ ᎠᎦᏙᎥᎯᏍᏗ ᎨᏒᎢ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),27324e24d51cd4bf,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],ᎠᎴ ᎤᎪᎲᏉ ᎤᎴᏅᎲ *ᎠᏕᎰᏍᎬᎢ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),7187ceafafec407e,lily-dict.csv,,[ᏣᏂ 9:34],… ᏅᎲᎢ ᎠᏍᎦᏂ ᎨᏒ *ᏣᏕᏅᎩ* …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),4ea06330a3bc9eaa,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],… ᎥᏝ ᎠᏏ ᎦᏙ ᏱᎬᏩᏍᏗ ᎤᏟ ᎤᎾᏰᎯᏍᏗ ᎠᎴ *ᎤᏕᏯᏙᏗ* ᎦᎶᎯᏍᏗᏱ ᏱᎦᎩ ᎾᏍᎩ ᎯᎠ ᎠᏂ ᏨᏗᏣᏎᎮᎸ …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),ce0c9a4779944423,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],"… ᎯᎠᏃ ᏄᏪᏒᎩ, Ꭷ, ᎰᏩᏉ, *ᎦᏕᎶᎣᏍᎦᏍᎩᏂ* ᎠᏂ ᎪᏪᎵ ᏣᏆᏒᎦᏔ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),88617c510708b111,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],"ᎤᏙᎯᏳᎯᏯ, *ᎤᏛᏅ* ᏧᏁᎶᏗ, ᎥᏝ ᏱᏥᎦᏔᎭ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),60d390596630343f,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ 24:18],"ᎯᎠᏃ ᏄᏪᏎᎢ, *ᎭᏗᏔ* ᏣᎬᏫᏳᎯ ᎠᏆᏤᎵᎦ; …",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),4e6eee0d4d978010,lily-dict.csv,,[King pg 122],“*ᎢᏣᏙᎴᏆᏍᎨᏍᏗ* ᏗᏓᏅᏬ ᏅᏬᏗ …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),6772710d14600c3c,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ 38:25],"… ᎠᎴ ᎯᎠ ᏄᏪᏎᎢ, ᎭᏙᎴᎰᎯ, ᎦᎪ ᏧᏤᎵᎦ ᎯᎠ, ᎠᎵᏰᏑᏍᏚᏬ ᎠᏐᎥᏍᏙᏗ, ᎠᎴ ᎪᎸᏌᏛᏗ, ᎠᎴ *ᎠᏙᎳᏅᏍᏗ*.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),0524131e2eb37782,lily-dict.csv,,[ᎶᎻ 7:9],"… ᎠᏍᎦᏂ *ᎤᏛᏂᏛᎩ*, ᎠᏴᏃ ᎠᎩᏲᎱᏒᎩ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),5875c5634bfb28e2,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ],"… ᏗᏇᏅᏒ ᏔᏘᏄᎦ ᎯᎠ ᎠᏂᏍᎦᏯ, ᎠᎴ ᏘᎷᎦ ᎠᎴ *ᎭᏛᏅᎢᏍᏓ* …",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),efa8e8cfe76ef7c0,lily-dict.csv,,[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ],… ᏃᏊᎴ *ᎤᎦᎵᏍᎬ* ᎠᎧᏲᏗᏍᎪᎢ ᎠᎹ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),01b1fb79744ff4fc,lily-dict.csv,,[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 5:11],"ᎯᎠᏃ ᎾᏂᎥᎩ, ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ ᎤᎶᏏᎶᏛ ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ, ᎠᎴ *ᎠᎦᏴᎵ* ᎤᎦᏴᎳᏥᎶᏛ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),94197c7fcd4758ac,lily-dict.csv,,[ᎷᎦ 1:7],… ᎠᎴ ᎢᏧᎳ ᎿᏉ *ᎠᏂᎦᏴᎵᎨ* ᎨᏎᎢ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),60be8684a3b7b1e4,lily-dict.csv,,[King pg 121],ᏍᎩᏉᏃ *ᎠᎨᏯ* ᎠᏥᎯᎮᎢ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),9edb1644c290a2b4,lily-dict.csv,,[ᏣᏂ 21:13],"ᏥᏌ ᎤᎷᏨᎩ *ᎤᎩᏒᎩ* ᎦᏚ ᎠᎴ ᏚᏁᎸᎩ, ᎠᎴ ᎾᏍᏉ ᎠᏣᏗ ᏚᏅᏁᎸᎩ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),9aaf1106d7d47ed9,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ 2:17],"ᎾᏍᎩᏂ ᎤᏓᏔᏅᎯ ᏥᏡᎦ ᎠᎦᏙᎥᎯᏍᏗ ᎣᏍᏛ ᎨᏒᎢ ᎠᎴ ᎤᏲ ᎨᏒᎢ, ᎥᏝ *ᏣᎩᏍᏗ* ᏱᎨᏎᏍᏗ, ᎾᎯᏳᏰᏃ ᎢᎦ ᎯᎬᎭ ᎤᏙᎯᏳᏒ ᏣᏲᎱᎯᏍᏗ ᎨᏎᏍᏗ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),6f0f94803f5ff3b4,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ 33:11],*ᎯᎩ* ᎬᏁᎸᎯ ᎾᏍᎩ ᏥᏪᏣᏲᎮᎸ …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),c261448cdc5114ed,lily-dict.csv,,[ᏔᎵᏁ ᏗᎹᏗ 1:12],ᎾᏍᎩ ᎾᏍᏉ ᏅᏗᎦᎵᏍᏙᏗᎭ ᎯᎠ ᎾᏍᎩ ᏧᏓᎴᏅᏛ *ᏥᎩᎵᏲᎦ*; ᎠᏎᏃ ᎥᏝ ᏱᎦᏕᎣᏍᎦ; …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),88f39707633c1b5c,lily-dict.csv,,[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 8:7],… ᎠᎴ ᏂᎦᏛ ᎢᏤ ᎧᏁᏍᎦ *ᎤᎪᏅᎩ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),b6f544b215e20205,lily-dict.csv,,[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 18:18],ᎠᎴ ᎤᏁᎷᏅᎩ ᎢᏳᏃ ᎤᏂᎪᎲ ᏚᎦᏒᏍᏛ ᎾᏍᎩ *ᎠᎪᎲᏍᎬᎢ* …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),b4c5b64100c3cbe9,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],… *ᎤᎪᎵᏰᎥᏃ* ᎿᏉ ᏚᏠᏱᎸ ᎠᎴ ᎤᏪᎾᏮᎩ;,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),8f08d3b35fa9d7cf,lily-dict.csv,,[ᎢᎬᏱᏱ ᏗᎹᏗ 5:14],ᎦᏳᎳᏰᏃ ᎢᎦᏛ *ᎤᎾᎪᎸᏒ* ᏎᏓᏂ ᎤᎾᏍᏓᏩᏕᏅ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),06d0ee569f1d2105,lily-dict.csv,,[ᎢᎬᏱᏱ ᎨᎪᏪᎳᏁᎸᎯ 11:34],"ᎾᏍᎩᏃ ᎢᏳ ᎩᎶ *ᎠᎪᎾ* ᎤᏲᏏᏍᎨᏍᏗ, ᏧᏪᏅᏒ ᎠᎵᏍᏓᏴᎲᏍᎨᏍᏗ; …",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),a8f6263a19d448a7,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],"ᎥᎥ, ᎣᏏ *ᏥᎪᏩᏘᎭ*.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),8b120594e66c8c40,lily-dict.csv,,[ᎹᏚ 17:15],… ᎠᏥᎸᏱ ᎬᏛᎪᎢ ᎠᎴ *ᎠᎹᏱ ᎠᎬᎪᎢ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),c81ac0ddec5707b8,lily-dict.csv,,[ᎹᏚ 6:17],"ᏂᎯᏍᎩᏂ ᎠᎹᏟ ᎲᏍᎨᏍᏗ, ᎭᏠᏁᏍᎨᏍᏗ, ᎠᎴ *ᎭᎬᏍᏉᏍᎨᏍᏗ*,",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),54a6d4bd2e61f8e4,lily-dict.csv,,[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ],*ᎠᎬᏱ* ᎤᎦᏔ ᎤᏂᏫᏎ.,
Mismatched asterisk count: Syllabary(2) vs Phonetic(0),9711756b1b7f75c5,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ 22:9],"… ᎠᎴ *ᎠᏓ* ᎣᏍᏛ ᏚᏝᏕᎢ, ᎠᎴ ᎤᎸᎴ ᎤᏪᏥ ᎡᏏᎩ, ᎠᎴ ᎠᏥᎸ ᎨᎳᏍᏗᏱ ᎤᏢᏁᎢ, *ᎠᏓ* ᏕᎠᏢ ᎦᏚᎢ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),2e21bd3435cab93c,lily-dict.csv,,[ᎨᏥᏅᏏᏛ ᏄᎾᏛᏁᎵᏙᎸᎢ 10:13],"ᎠᏥᏁᏤᎴᏃ ᎯᎠ ᏅᏗᎠᏥᏪᏎᎴᎢ; ᏈᏓ, ᏔᎴᎲᎦ, *ᎯᎷᎦ* ᎠᎴ ᎭᎵᏍᏓᏴᎲᎦ, ᎠᎪᏎᎴᎢ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),05b9c93547936d7f,lily-dict.csv,,[ᎨᏥᏅᏏᏛ ᏄᎾᏛᏁᎵᏙᎸᎢ 7:26],ᎤᎩᏨᏛᏃ ᏚᎾᏄᎪᏤᎴ *ᎠᎾᎵᎲᎢ* …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),b1acbd31577f6958,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],"ᏧᏁᎶᏗ ᎠᎴ ᎤᏬᎯᏳᎯᏍᏛ *ᎠᎾᎵᏃᎮᏔᏂᏐ* ᎠᎾᎢᏒ ᎢᎾᎨᎢ, ᎯᎠ ᏄᏂᏪᏒ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),37ca28e560da03d6,lily-dict.csv,,[ᎨᏥᏅᏏᏛ ᏄᎾᏛᏁᎵᏙᎸᎢ 22:29],… ᎠᎴ ᏅᏓᎦᎵᏍᏙᏗᏍᎬᎩ ᎾᏍᎩ *ᎤᎸᎸᎢ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),799ea1088d9fe4c7,lily-dict.csv,,[ᎪᎵᏂᏗᏱ ᎢᎬᏱᏱ 3:14],"ᎢᏳᏃ ᎩᎶ ᏚᎸᏫᏍᏓᏁᎸ ᏱᏁᎬᏩᏍᏗᏉ ᎾᎿ *ᎤᏁᏍᎨᎲᎢ*, ᎾᏍᎩ ᎠᎦᎫᏴᎡᏗ ᎨᏎᏍᏗ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),5622537a1e258b2e,lily-dict.csv,,[ᎪᎵᏂᏗᏱ ᎢᎬᏱᏱ 10:7],"… ᏴᏫ ᎤᎾᏅᏅᎩ ᏛᎾᎵᏍᏓᏴᏂᏒᎩ ᎠᎴ ᏛᎾᏗᏔᎯᏒᎩ, ᏚᎾᎴᏅᎩ *ᎤᎾᏁᏦᏅᎩ*.",
Mismatched asterisk count: Syllabary(2) vs Phonetic(0),b54b2f3198a419c0,lily-dict.csv,,[ᎹᏚ 15:11],"ᎥᏝᏍᎩᏂ ᎾᏍᎩ Ꮎ *ᎠᎰᎵ* ᏭᏴᎸᎯ ᎦᏓᎭ ᏱᏄᏩᏁᎰ ᏴᏫ, *ᎠᎰᎵᏍᎩᏂ* ᏅᏓᏳᏄᎪᏨᎯ ᎾᏍᎩ ᎦᏓᎭ ᏄᏩᏁᎰ ᏴᏫ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),2075fe76dfebcc23,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],"ᎾᏉᏃ ᏮᎤᏨᏒᎩ, ᎠᏴᏃ ᎡᏍᎦ ᏛᎩᎶᏒᎩ; ᏄᏬᎯᏳᎯᏒᎾ *ᎤᏍᏓᏩᏛᏒᎩ*, ᎠᏴᏃ ᎠᏂ ᎦᎶᎯᏍᏗ ᏙᏛᏊᎪᏔᏅᎩ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),149360b464fff4a3,lily-dict.csv,,[King pg 112],ᏚᏯ ᏃᎴ ᏎᎷ *ᏓᏍᏗᎩᎠ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),82157168600e643a,lily-dict.csv,,[ᎹᏚ 5:30],"ᎢᏳᏃ ᏦᏰᏂ ᎯᎦᏘᏏ ᏕᏦᏕᏍᏗᏍᎨᏍᏗ, *ᎯᏍᏆᎵᏍᎨᏍᏗ*, ᎠᎴ ᏣᏕᎨᏍᏗ …",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),3f7f25ebfde08fa8,lily-dict.csv,,[ᏣᏂ 17:15],ᎥᏝ ᎡᎶᎯ ᏗᎧᎲᏍᏗᏱ *ᏱᏥᏔᏲᎯᎭ* …,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),5d3d3bb941e77f43,lily-dict.csv,,[ᏥᎻ 1:5],"ᎢᏳᏃ ᎩᎶ ᏂᎯ ᎢᏤᎲ ᎠᎦᏙᎥᎯᏍᏗ ᎨᏒ ᎤᏂᎬᎨᏍᏗ, ᎤᏁᎳᏅᎯ *ᎠᏔᏲᏎᎮᏍᏗ*, …",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),89abb71e57b59c11,lily-dict.csv,,[ᎨᏥᏅᏏᏛ ᏄᎾᏛᏁᎵᏙᎸᎢ 23:32],"ᎤᎩᏨᏛᏃ ᏧᎾᎩᎸᏗ *ᎤᎾᏘᏅᏍᏗ* ᏄᏅᏁᎸ, ᎠᏂᏯᏫᏍᎩ ᎤᎾᏨᏒᎩ, ᏗᏐᏴ ᏭᏂᎶᏒᎩ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),667220fa5f441ee4,lily-dict.csv,,[ᎼᏏ ᎢᎬᏱᏱ 31:27],"… ᎾᏍᎩ ᎣᏍᏛ ᎢᎦᏓᏅᏛ ᎬᏯᏂᎩᏍᏙᏗᏱ, ᏗᎧᏃᎩᏛ ᎬᏗ, ᎠᎴ *ᎠᎱᎵ* ᎢᏳᏍᏗ ᎬᏗ, ᎠᎴ ᎠᏏᎳᏕᏫᏛ ᏗᎧᏃᎩᏍᏙᏗ ᎬᏗ?",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),9a74e4fc9d475ed5,lily-dict.csv,,[ᎷᎦ 21:3],"ᎯᎠᏃ ᏄᏪᏎᎢ, ᎤᏙᎯᏳᎯᏯ ᎢᏨᏲᏎᎭ, ᎯᎠ ᎾᏍᎩ ᎤᏲ ᎢᏳᏛᎿᏕᎩ ᎤᏬᏑᎶᏨᎯ ᎤᏟ ᎢᎦᎢ *ᎠᎲᎦ* ᎡᏍᎦᏉ ᏂᎦᏛ ᎠᏂᏐᎢ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),5c80fb631a2ad3ad,lily-dict.csv,,[ᎷᎦ 13:7],"… ᎿᏉ ᏦᎢ ᎾᏕᏘᏴ ᏥᎷᎬᎩ ᎠᎩᏲᎲᎩ ᎤᏓᏔᏅᎯ ᎯᎠ ᎾᏍᎩ ᎡᎦᏔᎢᏳᏍᏗ ᏡᎬᎢ, ᎠᎴ *ᎥᏝ ᏱᏥᏩᏘᎭ*; ᎯᎴᏴᏍᏓ; ᎦᏙᏃ ᎢᎤᎨᏗ ᎦᏙᎯ?",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),5ede7f097b6d51fb,lily-dict.csv,,[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ],ᎡᏥ ᏲᎾ ᎤᏪᏅᏎ *ᎠᏫ* ᏤᏙᎲᎢ. “ᎯᎪᏩᏘᎭᏍ ᎠᎩᎧᎲ ᏲᎾ ᎠᏓ?”,
Mismatched asterisk count: Syllabary(2) vs Phonetic(0),db65f35559d7db9a,lily-dict.csv,,[ᎹᎦ 4:14],ᎾᏍᎩ *ᎠᏫᏍᎩ* ᎧᏃᎮᏛ *ᎠᏫᏍᎪᎢ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),7cc6b25cc7f3a478,lily-dict.csv,,[ᎹᏚ 6:22],… ᏂᎬ *ᎯᏰᎸᎢ* ᎤᎧᎵᏦᏅᎯ ᎨᏎᏍᏗ ᎢᎦᎦᏘ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),db2615625f166c56,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],ᎠᏎᏃ *ᏕᏥᏰᏌᏛ* ᏓᎩᏍᏚᏓᏅ ᏗᏥᎴᏂ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),38c234fa0e23809a,lily-dict.csv,,[ᏣᏂ 19:39],"… *ᎤᏲᎸᎩ* ᏗᏜᏍᏔᏅᎯ ᎻᎳ ᎡᎳᏫᏃ, ᎠᏍᎪᎯᏧᏈ ᎢᏴᏛ ᎢᏳᏓᎨᏛ.",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),02c74ac58be5751d,lily-dict.csv,,[ᎹᎦ 3:17],"… ᎠᎴ ᎾᏍᎩ ᏉᎠᎾᏥ ᏚᏬᎡᎢ, ᎾᏍᎩ *ᎠᏴᏓᏆᎶᏍᎩ* ᏧᏪᏥ ᎦᏛᎦ;",
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),02dc3e00938151fc,lily-dict.csv,,[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ],ᎢᎾᎨ *ᎠᎢᏒᎩ*.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(0),8e314e7738d541db,lily-dict.csv,,[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ],… ᏃᏊᎴ ᎤᎦᎵᏍᎬ *ᎠᎧᏲᏗᏍᎪᎢ* ᎠᎹ.,
